sku,description,prod_type,comm_class,lot_control_flag,primary_dc,abc_code,fin_rprt_grp,sku_entry_date,sku_status,discon_date
243405DIB,Omeprazole 50mg Tablets,,General Market,Yes,CADC400D,C,PHRCA1139,11/22/2019,Active,
345283VRZ,Cough Syrup Sample,OTC,,No,ILWH500E,B,OTCIL7984,10/2/2021,Inactive,
268893OKM,Lisinopril 20mg Tablets Private Label,Pharma,Private Label,Yes,TXDC300C,C,PHRTX9413,5/12/2018,Inactive,
249935CHK,Ibuprofen 100mg Tablets Sample,Pharma,Sample,Yes,TXDC300C,A,PHRTX3778,9/7/2024,Inactive,
238314CJS,Metformin 50mg Tablets,Pharma,Private Label,Yes,ILWH500E,B,PHRIL6367,9/27/2019,Active,
191036LSI,Sertraline 250mg Tablets,,General Market,Yes,TXDC300C,B,INVALIDFRG,1/10/2021,Active,
738229NJD,Hydrochlorothiazide 5mg Tablets Sample,Pharma,Sample,Yes,,B,PHRIL8153,6/25/2019,Active,
112990RZN,Allergy Relief Caps Private Label,OTC,,No,TXDC300C,B,OTCTX6016,10/16/2021,Inactive,
108789ZKX,Ibuprofen 50mg Tablets,Pharma,Sample,Yes,ILWH500E,B,PHRIL3477,1/1/2019,Active,
321437EDD,Hydrochlorothiazide 10mg Tablets,Pharma,General Market,Yes,,C,PHRNJ3814,9/17/2025,Inactive,
879702IVO,Lisinopril 250mg Tablets,Pharma,Sample,Yes,CADC400D,B,PHRCA2313,3/12/2021,Inactive,
247324ATO,Metformin 250mg Tablets Private Label,Pharma,Private Label,Yes,CADC400D,C,PHRCA6368,4/2/2019,Inactive,
476509FMT,Losartan 50mg Tablets,Pharma,General Market,Yes,TXDC300C,A,PHRTX9534,6/29/2025,Active,
775809MKO,Atorvastatin 100mg Tablets Private Label,Pharma,Private Label,Yes,NJWH100A,A,PHRNJ2359,4/27/2023,Active,
690737FGI,Cold and Flu Capsules Private Label,OTC,,Yes,PAWH200B,A,OTCPA9411,4/15/2021,Active,
186552UJF,Omeprazole 250mg Tablets Private Label,Pharma,Private Label,Yes,,B,PHRIL7649,6/28/2025,Inactive,
519970HUI,Allergy Relief Caps,OTC,Sample,Yes,CADC400D,C,OTCCA4975,7/18/2023,Active,
76996C5GI,Metformin 50mg Tablets,Pharma,Private Label,Yes,ILWH500E,A,PHRIL5475,7/13/2025,Active,
426008VGL,Antacid Chewables,OTC,General Market,Yes,NJWH100A,B,OTCNJ3766,10/28/2019,Active,
648613TBS,Cough Syrup Private Label,OTC,Private Label,Yes,NJWH100A,A,OTCNJ2118,3/6/2018,Inactive,
779816DBN,Ibuprofen 5mg Tablets,Pharma,General Market,Yes,NJWH100A,C,PHRNJ9256,2/18/2022,Active,
234473LRR,Antacid Chewables,OTC,General Market,Yes,ILWH500E,A,INVALIDFRG1,5/20/2022,Active,
858396GDH,Metformin 20mg Tablets Sample,Pharma,Sample,No,NJWH100A,C,PHRNJ4118,12/3/2023,Active,
559249KPN,Atorvastatin 20mg Tablets,Pharma,General Market,No,CADC400D,B,PHRCA8065,9/16/2025,Active,
426625GRH,Cold and Flu Capsules Sample,OTC,,Yes,PAWH200B,A,OTCPA4541,10/17/2022,Inactive,6/8/2027
